category,frequency
Clothes and shoes,9
Beauty product,4
Medicine and doctor’s office,15
Books/postcard/portrait/periodicals,0
Barbershop/beauty parlor,2
Farming,2
Construction/manufacturing,0
Home management,1
Employment,0
Printer/binder,1
Hotel/Boarding house,6
Jewelry,0
Groceries,2
Cleaning,0
Music lessons,0
Sewing machine,0
Restaurant/saloon/tavern,2
Cemetery/funeral,1
Insurance,0
Bank/Loan,0
Real estate,0
Liquors and cigars,0
Law office,0
Photography,4
Eyeglasses,0
Private school/training school,0
Entertainment,9
Transportation,5
Guns,0
Meeting announcements,0
Department store,0
