city,state,country,first_name,last_name,agent,publication_date
Van Wert,Ohio,USA,H,Taylor,local,03-20-1844
Warren,Ohio,USA,A,Moore,local,12-27-1843
Warren,Ohio,USA,A,Day,local,04-17-1844
Wilmington,Ohio,USA,S,Depp,traveling,11-13-1844
Xenia,Ohio,USA,W,Roberts,local,12-27-1843
Xenia,Ohio,USA,Rev D,Winslow,traveling,12-27-1843
Zanesville,Ohio,USA,Rev Geo,Coleman,traveling,12-27-1843
Zanesville,Ohio,USA,B,Messer,local,02-14-1844
Zanesville,Ohio,USA,H,Nusum,local,02-14-1844
Zanesville,Ohio,USA,W,Gasaway,local,02-14-1844
Zanesville,Ohio,USA,I,Martin,local,06-05-1844
Batavia,New York,USA,W,Johnson,local,02-14-1844
Boston,Massachusetts,USA,J T,Hilton,local,02-14-1844
Brockport,New York,USA,A,Peck,local,02-14-1844
Buffalo,New York,USA,W W,Brown,local,02-14-1844
Buffalo,New York,USA,A H,Francis,local,02-14-1844
Butler,Ohio,USA,J,Yancy,traveling,03-27-1844
Butler,Ohio,USA,S,Jones,traveling,03-27-1844
Champaign,Ohio,USA,D,Lancaster,local,03-27-1844
Chillicothe,Ohio,USA,R W,Chancellor,local,02-21-1844
Chillicothe,Ohio,USA,James,Leach,local,02-21-1844
Cincinnati,Ohio,USA,Rev C,Satchel,traveling,02-14-1844
Cincinnati,Ohio,USA,Rev M M,Clark,traveling,02-14-1844
Cincinnati,Ohio,USA,W W,Watson,local,02-21-1844
Cincinnati,Ohio,USA,A M,Sumner,local,02-21-1844
Cincinnati,Ohio,USA,W M,Yancy,local,02-21-1844
Circleville,Ohio,USA,W,Scott,local,02-14-1844
Circleville,Ohio,USA,H,Glasspy,local,07-03-1844
Circleville,Ohio,USA,G,Stanup,local,07-03-1844
Cleveland,Ohio,USA,J,Malvin,local,02-14-1844
Cleveland,Ohio,USA,J L,Watson,local,02-14-1844
Cleveland,Ohio,USA,R D,Kenney,local,02-21-1844
Columbus,Ohio,USA,Rev W,Shelton,traveling,02-14-1844
