Topic,Frequency,Length
Literature,20,48
Morality,0,0		
Christianity,4,5.8
Education,2,6.5
Politics,26,45.5
International affair,3,18.5
Crime and justice,2,3.5
Community events,16,27
Business and economy,0,0		
Local news,26,42.2
Humor,5,5.6
House management/advice,0,0		
